stop_id,line_id,machine_id,stop_type,start_time,end_time,duration_minutes,description,operator,resolved
20,L1,M1-3,Bourrage,2024-02-23 15:04:26.637849,2024-02-23 16:31:26.637849,87,Bourrage sur M1-3,OP13,True
21,L1,M1-2,Bourrage,2024-02-23 20:43:26.637849,2024-02-23 22:14:26.637849,91,Bourrage sur M1-2,OP3,True
22,L1,M1-2,Probleme_Qualite,2024-02-23 19:09:26.637849,2024-02-23 20:02:26.637849,53,Probleme_Qualite sur M1-2,OP8,True
23,L1,M1-2,Attente_Materiel,2024-02-23 11:57:26.637849,2024-02-23 13:11:26.637849,74,Attente_Materiel sur M1-2,OP3,True
24,L1,M1-2,Panne_Mecanique,2024-02-23 18:45:26.637849,2024-02-23 20:14:26.637849,89,Panne_Mecanique sur M1-2,OP3,True
25,L2,M2-1,Panne_Electrique,2024-02-23 16:29:26.637849,2024-02-23 17:56:26.637849,87,Panne_Electrique sur M2-1,OP9,True
26,L2,M2-1,Nettoyage,2024-02-23 17:36:26.637849,2024-02-23 17:41:26.637849,5,Nettoyage sur M2-1,OP14,True
27,L2,M2-3,Changement_Format,2024-02-23 14:07:26.637849,2024-02-23 15:41:26.637849,94,Changement_Format sur M2-3,OP6,True
28,L2,M2-2,Probleme_Qualite,2024-02-23 20:18:26.637849,2024-02-23 21:44:26.637849,86,Probleme_Qualite sur M2-2,OP11,True
29,L2,M2-3,Panne_Electrique,2024-02-23 12:30:26.637849,2024-02-23 13:52:26.637849,82,Panne_Electrique sur M2-3,OP14,True
30,L2,M2-1,Nettoyage,2024-02-23 07:24:26.637849,2024-02-23 08:59:26.637849,95,Nettoyage sur M2-1,OP12,True
31,L2,M2-1,Attente_Operateur,2024-02-23 09:56:26.637849,2024-02-23 10:16:26.637849,20,Attente_Operateur sur M2-1,OP6,True
32,L3,M3-1,Changement_Format,2024-02-23 08:01:26.637849,2024-02-23 09:32:26.637849,91,Changement_Format sur M3-1,OP8,True
33,L3,M3-2,Nettoyage,2024-02-23 06:21:26.637849,2024-02-23 07:35:26.637849,74,Nettoyage sur M3-2,OP9,True
34,L3,M3-2,Nettoyage,2024-02-23 15:46:26.637849,2024-02-23 17:41:26.637849,115,Nettoyage sur M3-2,OP1,True
35,L3,M3-2,Attente_Operateur,2024-02-23 21:18:26.637849,2024-02-23 21:49:26.637849,31,Attente_Operateur sur M3-2,OP6,True
36,L3,M3-1,Reglage,2024-02-23 05:43:26.637849,2024-02-23 06:01:26.637849,18,Reglage sur M3-1,OP12,True
37,L3,M3-2,Changement_Format,2024-02-23 08:58:26.637849,2024-02-23 09:51:26.637849,53,Changement_Format sur M3-2,OP2,True
38,L3,M3-2,Bourrage,2024-02-23 15:41:26.637849,2024-02-23 16:29:26.637849,48,Bourrage sur M3-2,OP13,True
39,L3,M3-1,Attente_Materiel,2024-02-23 06:48:26.637849,2024-02-23 07:36:26.637849,48,Attente_Materiel sur M3-1,OP9,True
40,L3,M3-2,Reglage,2024-02-23 19:27:26.637849,2024-02-23 20:33:26.637849,66,Reglage sur M3-2,OP6,True
41,L3,M3-2,Bourrage,2024-02-23 17:01:26.637849,2024-02-23 18:27:26.637849,86,Bourrage sur M3-2,OP2,True
42,L3,M3-1,Reglage,2024-02-23 15:44:26.637849,2024-02-23 16:16:26.637849,32,Reglage sur M3-1,OP10,True
43,L3,M3-2,Panne_Mecanique,2024-02-23 11:55:26.637849,2024-02-23 13:46:26.637849,111,Panne_Mecanique sur M3-2,OP8,True
44,L1,M1-1,Bourrage,2024-02-24 09:36:26.637849,2024-02-24 09:50:26.637849,14,Bourrage sur M1-1,OP6,True
45,L1,M1-1,Attente_Operateur,2024-02-24 08:25:26.637849,2024-02-24 08:46:26.637849,21,Attente_Operateur sur M1-1,OP10,True
46,L1,M1-1,Changement_Format,2024-02-24 07:24:26.637849,2024-02-24 09:15:26.637849,111,Changement_Format sur M1-1,OP5,True
47,L2,M2-1,Reglage,2024-02-24 16:59:26.637849,2024-02-24 18:14:26.637849,75,Reglage sur M2-1,OP7,True
48,L2,M2-4,Panne_Electrique,2024-02-24 07:33:26.637849,2024-02-24 08:39:26.637849,66,Panne_Electrique sur M2-4,OP12,True
49,L2,M2-4,Probleme_Qualite,2024-02-24 21:19:26.637849,2024-02-24 22:44:26.637849,85,Probleme_Qualite sur M2-4,OP4,True
50,L2,M2-4,Probleme_Qualite,2024-02-24 06:20:26.637849,2024-02-24 07:32:26.637849,72,Probleme_Qualite sur M2-4,OP3,True
51,L2,M2-4,Bourrage,2024-02-24 13:05:26.637849,2024-02-24 13:35:26.637849,30,Bourrage sur M2-4,OP2,True
52,L2,M2-1,Reglage,2024-02-24 18:00:26.637849,2024-02-24 18:16:26.637849,16,Reglage sur M2-1,OP9,True
53,L2,M2-2,Panne_Electrique,2024-02-24 08:17:26.637849,2024-02-24 09:21:26.637849,64,Panne_Electrique sur M2-2,OP8,True
54,L3,M3-2,Panne_Mecanique,2024-02-24 09:48:26.637849,2024-02-24 10:29:26.637849,41,Panne_Mecanique sur M3-2,OP12,True
55,L3,M3-1,Nettoyage,2024-02-24 20:34:26.637849,2024-02-24 20:55:26.637849,21,Nettoyage sur M3-1,OP12,True
56,L3,M3-2,Nettoyage,2024-02-24 13:24:26.637849,2024-02-24 15:23:26.637849,119,Nettoyage sur M3-2,OP12,True
57,L3,M3-1,Panne_Mecanique,2024-02-24 08:58:26.637849,2024-02-24 09:18:26.637849,20,Panne_Mecanique sur M3-1,OP13,True
58,L3,M3-1,Attente_Materiel,2024-02-24 07:52:26.637849,2024-02-24 08:24:26.637849,32,Attente_Materiel sur M3-1,OP1,True
59,L3,M3-2,Panne_Electrique,2024-02-24 06:01:26.637849,2024-02-24 06:32:26.637849,31,Panne_Electrique sur M3-2,OP7,True
60,L3,M3-1,Changement_Format,2024-02-24 18:10:26.637849,2024-02-24 18:28:26.637849,18,Changement_Format sur M3-1,OP14,True
61,L3,M3-2,Reglage,2024-02-24 19:53:26.637849,2024-02-24 20:43:26.637849,50,Reglage sur M3-2,OP13,True
62,L1,M1-3,Attente_Materiel,2024-02-27 11:04:26.637849,2024-02-27 12:14:26.637849,70,Attente_Materiel sur M1-3,OP14,True
63,L1,M1-2,Panne_Mecanique,2024-02-27 13:48:26.637849,2024-02-27 15:45:26.637849,117,Panne_Mecanique sur M1-2,OP3,True
64,L1,M1-2,Nettoyage,2024-02-27 20:52:26.637849,2024-02-27 21:30:26.637849,38,Nettoyage sur M1-2,OP11,True
65,L1,M1-3,Reglage,2024-02-27 14:27:26.637849,2024-02-27 15:55:26.637849,88,Reglage sur M1-3,OP11,True
66,L1,M1-2,Panne_Mecanique,2024-02-27 19:36:26.637849,2024-02-27 20:04:26.637849,28,Panne_Mecanique sur M1-2,OP3,True
67,L1,M1-2,Panne_Mecanique,2024-02-27 18:04:26.637849,2024-02-27 19:48:26.637849,104,Panne_Mecanique sur M1-2,OP13,True
68,L1,M1-1,Reglage,2024-02-27 07:16:26.637849,2024-02-27 08:07:26.637849,51,Reglage sur M1-1,OP1,True
69,L1,M1-3,Nettoyage,2024-02-27 07:31:26.637849,2024-02-27 07:48:26.637849,17,Nettoyage sur M1-3,OP5,True
70,L1,M1-2,Panne_Mecanique,2024-02-27 09:42:26.637849,2024-02-27 10:27:26.637849,45,Panne_Mecanique sur M1-2,OP4,True
71,L1,M1-1,Reglage,2024-02-27 21:17:26.637849,2024-02-27 22:56:26.637849,99,Reglage sur M1-1,OP5,True
72,L1,M1-1,Bourrage,2024-02-27 12:59:26.637849,2024-02-27 13:26:26.637849,27,Bourrage sur M1-1,OP3,True
73,L1,M1-2,Maintenance_Preventive,2024-02-27 09:50:26.637849,2024-02-27 10:15:26.637849,25,Maintenance_Preventive sur M1-2,OP8,True
74,L1,M1-1,Changement_Format,2024-02-27 07:16:26.637849,2024-02-27 07:23:26.637849,7,Changement_Format sur M1-1,OP8,True
75,L1,M1-2,Panne_Electrique,2024-02-27 07:52:26.637849,2024-02-27 08:53:26.637849,61,Panne_Electrique sur M1-2,OP14,True
76,L2,M2-2,Panne_Mecanique,2024-02-27 19:55:26.637849,2024-02-27 21:16:26.637849,81,Panne_Mecanique sur M2-2,OP1,True
77,L2,M2-3,Attente_Materiel,2024-02-27 05:35:26.637849,2024-02-27 07:16:26.637849,101,Attente_Materiel sur M2-3,OP13,True
78,L2,M2-4,Panne_Electrique,2024-02-27 10:57:26.637849,2024-02-27 11:14:26.637849,17,Panne_Electrique sur M2-4,OP6,True
79,L2,M2-2,Reglage,2024-02-27 11:12:26.637849,2024-02-27 13:03:26.637849,111,Reglage sur M2-2,OP14,True
80,L2,M2-1,Panne_Mecanique,2024-02-27 12:15:26.637849,2024-02-27 13:57:26.637849,102,Panne_Mecanique sur M2-1,OP3,True
81,L2,M2-3,Maintenance_Preventive,2024-02-27 20:09:26.637849,2024-02-27 21:19:26.637849,70,Maintenance_Preventive sur M2-3,OP7,True
82,L2,M2-4,Changement_Format,2024-02-27 17:03:26.637849,2024-02-27 17:11:26.637849,8,Changement_Format sur M2-4,OP4,True
83,L3,M3-2,Bourrage,2024-02-27 08:01:26.637849,2024-02-27 08:08:26.637849,7,Bourrage sur M3-2,OP3,True
84,L3,M3-2,Attente_Operateur,2024-02-27 13:44:26.637849,2024-02-27 15:32:26.637849,108,Attente_Operateur sur M3-2,OP3,True
85,L1,M1-2,Attente_Materiel,2024-02-28 08:07:26.637849,2024-02-28 08:12:26.637849,5,Attente_Materiel sur M1-2,OP7,True
86,L1,M1-3,Panne_Electrique,2024-02-28 18:59:26.637849,2024-02-28 20:43:26.637849,104,Panne_Electrique sur M1-3,OP8,True
87,L1,M1-1,Probleme_Qualite,2024-02-28 18:32:26.637849,2024-02-28 19:42:26.637849,70,Probleme_Qualite sur M1-1,OP1,True
88,L1,M1-2,Probleme_Qualite,2024-02-28 20:32:26.637849,2024-02-28 21:54:26.637849,82,Probleme_Qualite sur M1-2,OP5,True
89,L1,M1-2,Probleme_Qualite,2024-02-28 20:36:26.637849,2024-02-28 22:32:26.637849,116,Probleme_Qualite sur M1-2,OP8,True
90,L2,M2-1,Attente_Materiel,2024-02-28 08:37:26.637849,2024-02-28 10:22:26.637849,105,Attente_Materiel sur M2-1,OP10,True
91,L2,M2-3,Panne_Electrique,2024-02-28 20:20:26.637849,2024-02-28 20:40:26.637849,20,Panne_Electrique sur M2-3,OP7,True
92,L2,M2-2,Nettoyage,2024-02-28 17:41:26.637849,2024-02-28 17:47:26.637849,6,Nettoyage sur M2-2,OP5,True
93,L2,M2-1,Attente_Operateur,2024-02-28 10:24:26.637849,2024-02-28 10:44:26.637849,20,Attente_Operateur sur M2-1,OP4,True
94,L2,M2-1,Reglage,2024-02-28 11:58:26.637849,2024-02-28 12:03:26.637849,5,Reglage sur M2-1,OP7,True
95,L2,M2-2,Nettoyage,2024-02-28 17:11:26.637849,2024-02-28 18:36:26.637849,85,Nettoyage sur M2-2,OP12,True
96,L2,M2-3,Panne_Mecanique,2024-02-28 08:51:26.637849,2024-02-28 08:56:26.637849,5,Panne_Mecanique sur M2-3,OP3,True
97,L2,M2-2,Attente_Materiel,2024-02-28 12:19:26.637849,2024-02-28 14:10:26.637849,111,Attente_Materiel sur M2-2,OP13,True
98,L2,M2-4,Panne_Mecanique,2024-02-28 06:26:26.637849,2024-02-28 07:14:26.637849,48,Panne_Mecanique sur M2-4,OP12,True
99,L3,M3-2,Attente_Materiel,2024-02-28 21:02:26.637849,2024-02-28 22:41:26.637849,99,Attente_Materiel sur M3-2,OP7,True
100,L3,M3-1,Attente_Operateur,2024-02-28 09:16:26.637849,2024-02-28 09:43:26.637849,27,Attente_Operateur sur M3-1,OP4,True
101,L3,M3-1,Reglage,2024-02-28 05:53:26.637849,2024-02-28 07:18:26.637849,85,Reglage sur M3-1,OP11,True
102,L3,M3-2,Bourrage,2024-02-28 13:01:26.637849,2024-02-28 14:25:26.637849,84,Bourrage sur M3-2,OP5,True
103,L3,M3-1,Nettoyage,2024-02-28 12:36:26.637849,2024-02-28 12:55:26.637849,19,Nettoyage sur M3-1,OP10,True
104,L3,M3-1,Nettoyage,2024-02-28 06:25:26.637849,2024-02-28 06:50:26.637849,25,Nettoyage sur M3-1,OP10,True
105,L3,M3-1,Attente_Operateur,2024-02-28 07:34:26.637849,2024-02-28 08:51:26.637849,77,Attente_Operateur sur M3-1,OP2,True
106,L1,M1-3,Maintenance_Preventive,2024-02-29 19:17:26.637849,2024-02-29 20:10:26.637849,53,Maintenance_Preventive sur M1-3,OP6,True
107,L1,M1-2,Reglage,2024-02-29 11:08:26.637849,2024-02-29 12:16:26.637849,68,Reglage sur M1-2,OP9,True
108,L1,M1-1,Changement_Format,2024-02-29 15:52:26.637849,2024-02-29 16:42:26.637849,50,Changement_Format sur M1-1,OP9,True
109,L1,M1-3,Reglage,2024-02-29 10:33:26.637849,2024-02-29 10:43:26.637849,10,Reglage sur M1-3,OP3,True
110,L1,M1-3,Panne_Mecanique,2024-02-29 19:23:26.637849,2024-02-29 19:49:26.637849,26,Panne_Mecanique sur M1-3,OP5,True
111,L1,M1-1,Nettoyage,2024-02-29 17:02:26.637849,2024-02-29 18:59:26.637849,117,Nettoyage sur M1-1,OP12,True
112,L2,M2-3,Reglage,2024-02-29 16:08:26.637849,2024-02-29 16:34:26.637849,26,Reglage sur M2-3,OP8,True
113,L2,M2-1,Bourrage,2024-02-29 07:01:26.637849,2024-02-29 08:56:26.637849,115,Bourrage sur M2-1,OP9,True
114,L2,M2-3,Panne_Mecanique,2024-02-29 05:36:26.637849,2024-02-29 06:53:26.637849,77,Panne_Mecanique sur M2-3,OP4,True
115,L2,M2-3,Reglage,2024-02-29 17:31:26.637849,2024-02-29 18:59:26.637849,88,Reglage sur M2-3,OP7,True
116,L2,M2-1,Panne_Mecanique,2024-02-29 07:33:26.637849,2024-02-29 08:04:26.637849,31,Panne_Mecanique sur M2-1,OP5,True
117,L2,M2-1,Panne_Mecanique,2024-02-29 10:41:26.637849,2024-02-29 11:55:26.637849,74,Panne_Mecanique sur M2-1,OP10,True
118,L2,M2-3,Reglage,2024-02-29 06:20:26.637849,2024-02-29 06:55:26.637849,35,Reglage sur M2-3,OP10,True
119,L2,M2-2,Reglage,2024-02-29 20:38:26.637849,2024-02-29 21:38:26.637849,60,Reglage sur M2-2,OP1,True
120,L3,M3-1,Reglage,2024-02-29 07:06:26.637849,2024-02-29 07:38:26.637849,32,Reglage sur M3-1,OP7,True
121,L3,M3-2,Reglage,2024-02-29 11:45:26.637849,2024-02-29 13:38:26.637849,113,Reglage sur M3-2,OP5,True
122,L3,M3-2,Panne_Electrique,2024-02-29 18:17:26.637849,2024-02-29 20:13:26.637849,116,Panne_Electrique sur M3-2,OP1,True
123,L3,M3-1,Attente_Operateur,2024-02-29 20:59:26.637849,2024-02-29 21:24:26.637849,25,Attente_Operateur sur M3-1,OP3,True
124,L3,M3-1,Panne_Mecanique,2024-02-29 15:16:26.637849,2024-02-29 15:30:26.637849,14,Panne_Mecanique sur M3-1,OP14,True
125,L3,M3-2,Nettoyage,2024-02-29 10:52:26.637849,2024-02-29 11:31:26.637849,39,Nettoyage sur M3-2,OP5,True
126,L1,M1-3,Maintenance_Preventive,2024-03-01 19:31:26.637849,2024-03-01 20:01:26.637849,30,Maintenance_Preventive sur M1-3,OP3,True
127,L1,M1-3,Reglage,2024-03-01 14:41:26.637849,2024-03-01 14:51:26.637849,10,Reglage sur M1-3,OP10,True
128,L1,M1-1,Panne_Electrique,2024-03-01 09:19:26.637849,2024-03-01 10:38:26.637849,79,Panne_Electrique sur M1-1,OP1,True
129,L1,M1-2,Maintenance_Preventive,2024-03-01 14:32:26.637849,2024-03-01 16:24:26.637849,112,Maintenance_Preventive sur M1-2,OP3,True
130,L1,M1-2,Bourrage,2024-03-01 17:53:26.637849,2024-03-01 18:10:26.637849,17,Bourrage sur M1-2,OP12,True
131,L1,M1-3,Changement_Format,2024-03-01 16:56:26.637849,2024-03-01 18:50:26.637849,114,Changement_Format sur M1-3,OP5,True
132,L1,M1-3,Nettoyage,2024-03-01 06:45:26.637849,2024-03-01 07:59:26.637849,74,Nettoyage sur M1-3,OP13,True
133,L2,M2-4,Maintenance_Preventive,2024-03-01 12:55:26.637849,2024-03-01 13:34:26.637849,39,Maintenance_Preventive sur M2-4,OP7,True
134,L2,M2-3,Probleme_Qualite,2024-03-01 05:20:26.637849,2024-03-01 06:43:26.637849,83,Probleme_Qualite sur M2-3,OP14,True
135,L2,M2-4,Panne_Electrique,2024-03-01 20:02:26.637849,2024-03-01 20:19:26.637849,17,Panne_Electrique sur M2-4,OP5,True
136,L2,M2-3,Nettoyage,2024-03-01 16:41:26.637849,2024-03-01 17:45:26.637849,64,Nettoyage sur M2-3,OP9,True
137,L2,M2-4,Panne_Electrique,2024-03-01 12:07:26.637849,2024-03-01 13:06:26.637849,59,Panne_Electrique sur M2-4,OP13,True
138,L2,M2-4,Panne_Electrique,2024-03-01 17:33:26.637849,2024-03-01 18:01:26.637849,28,Panne_Electrique sur M2-4,OP11,True
139,L2,M2-2,Reglage,2024-03-01 05:39:26.637849,2024-03-01 07:21:26.637849,102,Reglage sur M2-2,OP10,True
140,L2,M2-1,Panne_Mecanique,2024-03-01 11:03:26.637849,2024-03-01 11:17:26.637849,14,Panne_Mecanique sur M2-1,OP9,True
141,L2,M2-1,Attente_Operateur,2024-03-01 13:41:26.637849,2024-03-01 15:12:26.637849,91,Attente_Operateur sur M2-1,OP13,True
142,L2,M2-3,Reglage,2024-03-01 19:52:26.637849,2024-03-01 20:03:26.637849,11,Reglage sur M2-3,OP10,True
143,L3,M3-1,Changement_Format,2024-03-01 05:53:26.637849,2024-03-01 07:11:26.637849,78,Changement_Format sur M3-1,OP14,True
144,L3,M3-1,Panne_Electrique,2024-03-01 17:29:26.637849,2024-03-01 19:18:26.637849,109,Panne_Electrique sur M3-1,OP10,True
145,L3,M3-1,Probleme_Qualite,2024-03-01 05:33:26.637849,2024-03-01 05:50:26.637849,17,Probleme_Qualite sur M3-1,OP3,True
146,L3,M3-1,Changement_Format,2024-03-01 20:38:26.637849,2024-03-01 21:08:26.637849,30,Changement_Format sur M3-1,OP9,True
147,L3,M3-2,Nettoyage,2024-03-01 17:02:26.637849,2024-03-01 17:31:26.637849,29,Nettoyage sur M3-2,OP14,True
148,L3,M3-1,Maintenance_Preventive,2024-03-01 20:54:26.637849,2024-03-01 21:23:26.637849,29,Maintenance_Preventive sur M3-1,OP14,True
149,L1,M1-3,Changement_Format,2024-03-02 05:24:26.637849,2024-03-02 06:05:26.637849,41,Changement_Format sur M1-3,OP7,True
150,L1,M1-1,Reglage,2024-03-02 10:21:26.637849,2024-03-02 11:18:26.637849,57,Reglage sur M1-1,OP10,True
151,L1,M1-2,Bourrage,2024-03-02 17:32:26.637849,2024-03-02 18:55:26.637849,83,Bourrage sur M1-2,OP13,True
152,L1,M1-1,Maintenance_Preventive,2024-03-02 09:28:26.637849,2024-03-02 10:04:26.637849,36,Maintenance_Preventive sur M1-1,OP2,True
153,L1,M1-3,Maintenance_Preventive,2024-03-02 18:07:26.637849,2024-03-02 19:36:26.637849,89,Maintenance_Preventive sur M1-3,OP1,True
154,L1,M1-1,Nettoyage,2024-03-02 19:33:26.637849,2024-03-02 19:47:26.637849,14,Nettoyage sur M1-1,OP7,True
155,L1,M1-3,Panne_Electrique,2024-03-02 12:07:26.637849,2024-03-02 12:17:26.637849,10,Panne_Electrique sur M1-3,OP8,True
156,L1,M1-1,Maintenance_Preventive,2024-03-02 12:47:26.637849,2024-03-02 13:15:26.637849,28,Maintenance_Preventive sur M1-1,OP3,True
157,L2,M2-1,Attente_Operateur,2024-03-02 17:06:26.637849,2024-03-02 17:19:26.637849,13,Attente_Operateur sur M2-1,OP4,True
158,L2,M2-2,Reglage,2024-03-02 14:01:26.637849,2024-03-02 15:09:26.637849,68,Reglage sur M2-2,OP6,True
159,L2,M2-4,Panne_Mecanique,2024-03-02 14:52:26.637849,2024-03-02 16:36:26.637849,104,Panne_Mecanique sur M2-4,OP11,True
160,L2,M2-3,Nettoyage,2024-03-02 18:52:26.637849,2024-03-02 19:39:26.637849,47,Nettoyage sur M2-3,OP11,True
161,L2,M2-3,Attente_Operateur,2024-03-02 07:46:26.637849,2024-03-02 08:37:26.637849,51,Attente_Operateur sur M2-3,OP3,True
162,L2,M2-1,Panne_Mecanique,2024-03-02 13:00:26.637849,2024-03-02 13:05:26.637849,5,Panne_Mecanique sur M2-1,OP12,True
163,L2,M2-3,Reglage,2024-03-02 09:24:26.637849,2024-03-02 09:54:26.637849,30,Reglage sur M2-3,OP13,True
164,L2,M2-2,Probleme_Qualite,2024-03-02 10:50:26.637849,2024-03-02 12:13:26.637849,83,Probleme_Qualite sur M2-2,OP13,True
165,L2,M2-1,Probleme_Qualite,2024-03-02 09:08:26.637849,2024-03-02 09:32:26.637849,24,Probleme_Qualite sur M2-1,OP2,True
166,L2,M2-3,Reglage,2024-03-02 17:38:26.637849,2024-03-02 19:23:26.637849,105,Reglage sur M2-3,OP13,True
167,L2,M2-1,Attente_Materiel,2024-03-02 16:14:26.637849,2024-03-02 16:26:26.637849,12,Attente_Materiel sur M2-1,OP8,True
168,L3,M3-1,Bourrage,2024-03-02 11:21:26.637849,2024-03-02 12:34:26.637849,73,Bourrage sur M3-1,OP4,True
169,L3,M3-1,Bourrage,2024-03-02 18:39:26.637849,2024-03-02 18:52:26.637849,13,Bourrage sur M3-1,OP13,True
170,L3,M3-1,Changement_Format,2024-03-02 13:56:26.637849,2024-03-02 14:47:26.637849,51,Changement_Format sur M3-1,OP2,True
171,L3,M3-2,Maintenance_Preventive,2024-03-02 11:35:26.637849,2024-03-02 12:12:26.637849,37,Maintenance_Preventive sur M3-2,OP6,True
172,L3,M3-1,Probleme_Qualite,2024-03-02 05:49:26.637849,2024-03-02 07:23:26.637849,94,Probleme_Qualite sur M3-1,OP5,True
173,L3,M3-2,Probleme_Qualite,2024-03-02 07:58:26.637849,2024-03-02 09:11:26.637849,73,Probleme_Qualite sur M3-2,OP5,True
174,L1,M1-2,Panne_Mecanique,2024-03-05 17:33:26.637849,2024-03-05 18:51:26.637849,78,Panne_Mecanique sur M1-2,OP13,True
175,L1,M1-3,Bourrage,2024-03-05 18:19:26.637849,2024-03-05 20:07:26.637849,108,Bourrage sur M1-3,OP5,True
176,L1,M1-1,Attente_Materiel,2024-03-05 08:15:26.637849,2024-03-05 09:02:26.637849,47,Attente_Materiel sur M1-1,OP9,True
177,L1,M1-3,Panne_Mecanique,2024-03-05 10:48:26.637849,2024-03-05 12:38:26.637849,110,Panne_Mecanique sur M1-3,OP7,True
178,L1,M1-2,Panne_Electrique,2024-03-05 07:20:26.637849,2024-03-05 07:37:26.637849,17,Panne_Electrique sur M1-2,OP4,True
179,L1,M1-1,Changement_Format,2024-03-05 10:18:26.637849,2024-03-05 11:22:26.637849,64,Changement_Format sur M1-1,OP1,True
180,L1,M1-2,Maintenance_Preventive,2024-03-05 08:09:26.637849,2024-03-05 08:23:26.637849,14,Maintenance_Preventive sur M1-2,OP2,True
181,L1,M1-3,Attente_Materiel,2024-03-05 11:53:26.637849,2024-03-05 13:21:26.637849,88,Attente_Materiel sur M1-3,OP4,True
182,L1,M1-2,Probleme_Qualite,2024-03-05 05:46:26.637849,2024-03-05 07:22:26.637849,96,Probleme_Qualite sur M1-2,OP14,True
183,L2,M2-2,Attente_Materiel,2024-03-05 21:02:26.637849,2024-03-05 22:56:26.637849,114,Attente_Materiel sur M2-2,OP2,True
184,L2,M2-4,Panne_Electrique,2024-03-05 11:47:26.637849,2024-03-05 12:50:26.637849,63,Panne_Electrique sur M2-4,OP12,True
185,L2,M2-1,Bourrage,2024-03-05 21:15:26.637849,2024-03-05 23:05:26.637849,110,Bourrage sur M2-1,OP9,True
186,L2,M2-1,Reglage,2024-03-05 16:00:26.637849,2024-03-05 17:15:26.637849,75,Reglage sur M2-1,OP3,True
187,L3,M3-2,Changement_Format,2024-03-05 11:24:26.637849,2024-03-05 11:39:26.637849,15,Changement_Format sur M3-2,OP8,True
188,L3,M3-2,Probleme_Qualite,2024-03-05 16:40:26.637849,2024-03-05 17:03:26.637849,23,Probleme_Qualite sur M3-2,OP4,True
189,L3,M3-2,Panne_Mecanique,2024-03-05 07:36:26.637849,2024-03-05 07:52:26.637849,16,Panne_Mecanique sur M3-2,OP2,True
190,L3,M3-1,Reglage,2024-03-05 16:19:26.637849,2024-03-05 18:09:26.637849,110,Reglage sur M3-1,OP14,True
191,L3,M3-1,Changement_Format,2024-03-05 20:29:26.637849,2024-03-05 21:03:26.637849,34,Changement_Format sur M3-1,OP10,True
192,L1,M1-1,Panne_Electrique,2024-03-06 06:48:26.637849,2024-03-06 07:36:26.637849,48,Panne_Electrique sur M1-1,OP3,True
193,L1,M1-2,Panne_Electrique,2024-03-06 20:19:26.637849,2024-03-06 20:28:26.637849,9,Panne_Electrique sur M1-2,OP7,True
